Artiest;Titel;Jaar;HP;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Queen;Bohemian Rhapsody;1975;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;2;2;1;1;1
Eagles;Hotel California;1977;1;2;4;3;3;2;2;3;3;3;2;2;1;2;2;2;1;3;2;2;2
Billy Joel;Piano man;1974;3;121;83;57;58;60;66;49;54;34;50;45;45;29;36;18;7;6;4;4;3
Led Zeppelin;Stairway to heaven;1971;3;4;3;4;4;4;4;5;5;5;5;4;5;5;3;3;3;5;3;3;4
Pink Floyd;Wish you were here;1975;5; ;45;25;29;20;21;16;8;14;12;9;6;7;6;6;6;9;9;7;5
Deep Purple;Child in time;1972;2;3;2;2;2;3;3;4;4;4;4;5;4;3;4;4;4;8;5;5;6
Pearl Jam;Black;1993;6; ; ; ; ; ; ; ; ; ; ;803;452;40;24;16;12;12;10;6;7
Toto;Africa;1982;8;34;49;33;39;52;63;70;75;110;66;100;97;87;62;28;51;42;30;25;8
Coldplay;Fix you;2005;8; ; ; ; ; ; ; ; ; ; ;1494;235;69;40;20;15;10;11;8;9
Boudewijn de Groot;Avond;1997;1;428;121;41;25;8;5;1;2;2;3;3;3;4;5;5;5;7;6;9;10
Guns N' Roses;November rain;1992;6; ;10;18;17;6;7;10;13;20;9;16;17;17;12;13;10;13;17;10;11
Queen;Love of my life;1975;12; ;82;108;97;111;115;78;69;82;82;73;78;75;76;82;69;74;64;72;12
Metallica;Nothing else matters;1992;9; ; ;1014;99;16;19;20;10;15;14;19;11;14;14;9;11;16;15;15;13
Pink Floyd;Comfortably numb;1979;8; ;74; ;1356;358;53;25;19;17;34;15;13;12;10;8;8;11;16;12;14
Dire Straits;Brothers in arms;1985;7;28;22;7;9;11;15;19;20;19;13;21;19;15;11;11;14;15;19;17;15
John Lennon;Imagine;1971;1;7;7;11;11;13;9;15;15;41;15;41;26;28;22;23;38;1;12;16;16
David Bowie;Heroes;1977;7;70;62;77;63;71;99;137;125;130;112;123;112;145;119;79;34;60;7;11;17
Pink Floyd;Shine on you crazy diamond;1975;7; ;50;47;33;26;25;12;14;21;19;13;15;16;7;10;9;14;20;22;18
AC/DC;Thunderstruck;1990;13; ; ; ; ; ; ; ; ; ; ;1086;882;61;48;54;24;27;21;13;19
Dire Straits;Sultans of swing;1978;10;20;16;10;16;15;27;28;27;28;23;32;25;30;28;21;27;25;26;26;20
Bruce Springsteen;The river;1981;7;48;33;26;19;30;20;27;40;11;21;30;30;10;15;7;16;17;14;19;21
Johnny Cash;Hurt;2002;17; ; ; ; ; ; ; ; ; ; ;168;118;43;29;17;29;26;28;20;22
Metallica;One;1994;13; ; ; ; ;478;23;40;30;13;35;31;34;32;20;14;18;20;25;23;23
Claudia de Breij;Mag ik dan bij jou;2011;4; ; ; ; ; ; ; ; ; ; ; ; ; ;1565;472;19;4;8;14;24
Prince & The Revolution;Purple rain;1984;13;54;90;160;120;160;104;152;126;148;132;169;79;80;74;77;71;62;13;18;25
Simon & Garfunkel;The sound of silence;1966;23;49;71;61;64;76;85;101;81;153;92;82;74;58;70;32;42;44;23;28;26
Golden Earring;Radar love;1973;12;23;21;21;27;27;12;13;16;23;17;24;16;18;18;24;26;31;22;21;27
Racoon;Oceaan;2013;21; ; ; ; ; ; ; ; ; ; ; ; ; ; ;33;21;21;24;24;28
Meat Loaf;Paradise by the dashboard light;1978;5;5;5;5;5;5;6;6;7;10;6;12;9;11;19;22;17;30;27;27;29
Queen;Innuendo;1991;30; ; ; ; ; ; ; ;393;117;470;96;101;63;54;44;44;38;35;38;30
BLØF & Geike Arnaert;Zoutelande;2017;31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;889;31
Nirvana;Smells like teen spirit;1991;26; ; ; ; ; ; ;105;53;62;124;48;71;36;30;26;31;34;32;34;32
